Kommun;Män;Kvinnor;;;;;;;
 Rättvik;767;1131;;;;;;;
 Orsa;433;673;;;;;;;
 Älvdalen;341;546;;;;;;;
 Smedjebacken;648;937;;;;;;;
 Mora;1498;2326;;;;;;;
 Falun;6501;8464;;;;;;;
 Borlänge;4480;5296;;;;;;;
 Säter;793;1174;;;;;;;
 Hedemora;934;1458;;;;;;;
 Avesta;1372;2011;;;;;;;
 Ludvika;2076;2615;;;;;;;
 Ockelbo;314;537;;;;;;;
 Hofors;427;779;;;;;;;
 Ovanåker;564;967;;;;;;;
 Nordanstig;487;825;;;;;;;
 Ljusdal;965;1663;;;;;;;
 Gävle;10197;13741;;;;;;;
 Sandviken;2852;3939;;;;;;;
 Söderhamn;1567;2317;;;;;;;
 Bollnäs;1769;2665;;;;;;;
 Hudiksvall;2720;4389;;;;;;;
 Ånge;491;757;;;;;;;
 Timrå;1190;1769;;;;;;;
 Härnösand;2543;3183;;;;;;;
 Sundsvall;10081;13021;;;;;;;
 Kramfors;1205;1704;;;;;;;
 Sollefteå;1433;1944;;;;;;;
 Örnsköldsvik;4797;6790;;;;;;;
 Ragunda;256;408;;;;;;;
 Bräcke;334;561;;;;;;;
 Krokom;1231;1764;;;;;;;
 Strömsund;613;975;;;;;;;
 Åre;971;1396;;;;;;;
 Berg;407;656;;;;;;;
 Härjedalen;542;861;;;;;;;
 Östersund;6815;9369;;;;;;;
 Nordmaling;399;656;;;;;;;
 Bjurholm;133;213;;;;;;;
 Vindeln;341;535;;;;;;;
 Robertsfors;492;692;;;;;;;
 Norsjö;192;325;;;;;;;
 Malå;148;282;;;;;;;
 Storuman;388;588;;;;;;;
 Sorsele;158;221;;;;;;;
 Dorotea;123;195;;;;;;;
 Vännäs;711;1027;;;;;;;
 Vilhelmina;380;616;;;;;;;
 Åsele;157;253;;;;;;;
 Umeå;19760;24007;;;;;;;
 Lycksele;843;1326;;;;;;;
 Skellefteå;6851;8602;;;;;;;
 Arvidsjaur;403;565;;;;;;;
 Arjeplog;157;284;;;;;;;
 Jokkmokk;317;596;;;;;;;
 Överkalix;170;293;;;;;;;
 Kalix;1081;1718;;;;;;;
 Övertorneå;304;419;;;;;;;
 Pajala;328;559;;;;;;;
 Gällivare;1083;1816;;;;;;;
 Älvsbyn;422;680;;;;;;;
 Luleå;10526;12103;;;;;;;
 Piteå;3662;5213;;;;;;;
 Boden;2879;3551;;;;;;;
 Haparanda;528;771;;;;;;;
 Kiruna;1768;2433;;;;;;;
